tc_id,tc_name,module,result,duration,remark
TC01,正确账号密码登录,OrangeHRM-EDGE,通过,8.41s,
TC02,错误密码登录验证错误提示,OrangeHRM-EDGE,通过,7.65s,
TC03,空值登录验证必填信息,OrangeHRM-EDGE,通过,5.63s,
TC04,登陆后首页Dashboard加载验证,OrangeHRM-EDGE,通过,7.75s,
TC05,菜单导航跳转测试,OrangeHRM-EDGE,通过,13.54s,
TC06,员工姓名搜索测试,OrangeHRM-EDGE,通过,12.53s,
TC07,表格列标题显示验证,OrangeHRM-EDGE,通过,10.36s,
TC08,下拉框选择User Role验证,OrangeHRM-EDGE,通过,14.08s,
TC09,表格分页切换测试,OrangeHRM-EDGE,通过,22.37s,分页按钮正常
TC10,填写表单以及上传文件,OrangeHRM-EDGE,通过,18.85s,
TC11,页面刷新后登录状态保持验证,OrangeHRM-EDGE,通过,10.79s,
TC12,退出登录返回登录页验证,OrangeHRM-EDGE,通过,11.45s,
TC13,文本框输入姓名邮箱以及手机号,DemoQA-EDGE,通过,4.04s,
TC14,单选框选择性别,DemoQA-EDGE,通过,4.97s,
TC15,复选框选择爱好以及状态判断,DemoQA-EDGE,通过,5.71s,
TC16,日期控件选择出生日期,DemoQA-EDGE,通过,5.02s,
TC17,上传本地测试文件,DemoQA-EDGE,通过,4.88s,
TC18,表单提交验证弹窗内容,DemoQA-EDGE,通过,4.11s,
TC19,Alert弹窗获取文本并确认,DemoQA-EDGE,通过,4.95s,
TC20,Confirm弹窗点击确认和取消,DemoQA-EDGE,通过,5.59s,
TC21,Prompt弹窗输入内容并提交,DemoQA-EDGE,通过,7.95s,
TC22,多窗口打开并切换,DemoQA-EDGE,通过,6.13s,
TC23,iframe切换进入操作,DemoQA-EDGE,通过,5.50s,
TC24,拖拽元素到目标区域,DemoQA-EDGE,失败,13.14s,[跨浏览器拖拽限制] 拖拽结果不符：Drop Here 截图:screenshots\TC24_edge_1779442920.png
TC25,页面滚动后浮动菜单始终可见验证,TheInternet-EDGE,通过,5.64s,
TC26,页面图片加载状态检测,TheInternet-EDGE,通过,6.62s,损坏2张 正常1张
TC27,页面无限滚动加载新内容验证,TheInternet-EDGE,通过,20.66s,段落数 2 → 12
TC28,随机通知消息刷新验证,TheInternet-EDGE,通过,17.93s,共收集到2种消息
TC29,Dynamic Controls 元素动态出现与消失,TheInternet-EDGE,通过,23.90s,
TC30,Dynamic Loading 等待隐藏元素加载完成,TheInternet-EDGE,通过,9.51s,
TC31,鼠标悬浮显示隐藏用户信息,TheInternet-EDGE,通过,11.67s,
TC32,键盘按键事件捕获验证,TheInternet-EDGE,通过,7.05s,
TC33,新窗口打开与切换验证,TheInternet-EDGE,通过,6.14s,
TC34,页面刷新菜单项动态变化验证,TheInternet-EDGE,通过,5.92s,

总用例数,34
通过,33
失败,1
通过率,97.1%
总耗时,424.79s
浏览器,EDGE
